"","Commodity2","APMC","Year","maxfluctrel","maxfluct"
"1","pigeon pea tur","Umarkhed",2016,955.172413793103,55400
"2","sesamum","Shegaon",2015,158.075918241893,10286
"3","sesamum","Barshi",2014,876.744186046512,9425
"4","pigeon pea tur","Gevrai",2015,182.247627264884,8449
"5","pigeon pea tur","Nilanga",2015,87.1943839264101,7204
"6","pigeon pea tur","Mehkar",2016,90.5126026621354,6392
"7","pigeon pea tur","Mehkar",2015,143.397590361446,5951
"8","pigeon pea tur","Lohara",2015,63.3894923520284,5719
"9","pigeon pea tur","Daryapur",2015,112.708962739174,5596
"10","maize","Shahada",2015,453.421269579555,5500
"11","mustard","Mumbai",2014,125,5000
"12","ricepaddyhus","Mumbai",2016,105.633494081543,4819
"13","pigeon pea tur","Sangrampur",2015,111.904761904762,4700
"14","ricepaddyhus","Khalapur(Shil-Phata)",2016,185,4625
"15","pigeon pea tur","Babhulgaon",2015,109.588051072031,4549
"16","pigeon pea tur","Malkapur",2016,56.8740592072253,4534
"17","pigeon pea tur","Ambejogai",2015,80.0674476393326,4511
"18","pigeon pea tur","Kalamb (Os)",2015,53.3442293185818,4243
"19","pigeon pea tur","Tumsar",2016,64.4682478959449,4213
"20","ricepaddyhus","Mumbai",2014,71.5036231884058,4124
"21","paddyunhusked","Brahmpuri",2015,212.158681092221,4118
"22","pigeon pea tur","Himayatnagar",2016,49.2950717404866,3951
"23","ricepaddyhus","Sangali",2016,198.845750262329,3895
"24","cotton","Ghatanji",2016,90.3614457831325,3825
"25","ricepaddyhus","Sangali",2015,223.529411764706,3800
"26","ricepaddyhus","Sangali",2014,211.111111111111,3800
"27","pigeon pea tur","Dondaicha",2015,77.0578647106765,3782
"28","pigeon pea tur","Khamgaon",2015,62.6923076923077,3749
"29","ricepaddyhus","Mumbai",2015,82.5675675675676,3666
"30","pigeon pea tur","Sindi (Selu)",2016,200.276243093923,3625
"31","ricepaddyhus","Solapur",2014,170.529801324503,3605
"32","ricepaddyhus","Kolhapur-Laxmipuri",2014,189.473684210526,3600
"33","sunflower","Lasalgaon",2015,198.333333333333,3570
"34","ricepaddyhus","Solapur",2016,163.796296296296,3538
"35","ricepaddyhus","Solapur",2015,166.071428571429,3534
"36","pigeon pea tur","Sangali",2015,47.5409836065574,3500
"37","pigeon pea tur","Sangrampur-Varvatbakal",2015,62.9090909090909,3460
"38","pigeon pea tur","Balapur",2015,63.3488372093023,3405
"39","ricepaddyhus","Kalyan",2016,212.5,3400
"40","ricepaddyhus","Kolhapur-Laxmipuri",2015,170.682730923695,3400
"41","pigeon pea tur","Malkapur",2015,53.3592358750202,3296
"42","pigeon pea tur","Mangrulpeer",2015,49.164895232311,3238
"43","mustard","Mumbai",2015,66.6666666666667,3200
"44","sesamum","Shirpur",2014,44.0276816608997,3181
"45","pigeon pea tur","Indapur-Bhigwan",2015,53.0821917808219,3100
"46","pigeon pea tur","Manwat",2015,45.9191230928751,3100
"47","ricepaddyhus","Karjat (Raigad)",2016,152.75,3055
"48","sesamum","Karanja",2015,100,3000
"49","ricepaddyhus","Pen",2015,85.7142857142857,3000
"50","pigeon pea tur","Sailu",2015,42.8571428571429,3000
"51","ricepaddyhus","Ulhasnagar",2015,78.1291522721233,2940
"52","ricepaddyhus","Kolhapur-Laxmipuri",2016,139.624458353394,2914
"53","sesamum","Chikhali",2016,72.5,2900
"54","sorgumjawar","Sailu",2016,216.654107008289,2875
"55","ricepaddyhus","Ulhasnagar",2016,89.9073461283918,2865
"56","pigeon pea tur","Latur",2015,32.2550724637681,2810
"57","ricepaddyhus","Kalyan",2015,147.368421052632,2800
"58","wheathusked","Kurdwadi-Modnimb",2016,169.533615990309,2799
"59","ricepaddyhus","Pen",2014,78.3380281690141,2781
"60","pigeon pea tur","Parola",2016,51.3148148148148,2771
"61","pigeon pea tur","Majalgaon",2015,42.8538120774073,2720
"62","split black gram","Mumbai",2015,21.0881484605652,2696
"63","pigeon pea tur","Achalpur",2015,42.3344947735192,2673
"64","ricepaddyhus","Vasai",2016,142.116515232496,2659
"65","pigeon pea tur","Shirpur",2016,53.2958199356913,2652
"66","sunflower","Lasalgaon",2016,82.7866291783818,2650
"67","sesamum","Shirpur",2015,61.3310663104202,2624
"68","pigeon pea tur","Kille Dharur",2015,40.8997955010225,2600
"69","sesamum","Lasalgaon",2015,27.1700481070906,2598
"70","ricepaddyhus","Pen",2016,71.0140845070423,2521
"71","pigeon pea tur","Sangrampur-Varvatbakal",2016,42.4687330070691,2514
"72","pigeon pea tur","Majalgaon",2016,38.0530973451327,2494
"73","wheatunhusked","Sangali",2015,73.0442426018166,2493
"74","pigeon pea tur","Chikhali",2015,37.5598086124402,2485
"75","pigeon pea tur","Pathari",2016,47.9271600154979,2474
"76","ricepaddyhus","Umared",2014,123.15,2463
"77","ricepaddyhus","Karjat (Raigad)",2014,122.9,2458
"78","sesamum","Indapur-Bhigwan",2015,51.0416666666667,2450
"79","sesamum","Malkapur",2015,38.8888888888889,2450
"80","wheathusked","Osmanabad",2016,124.52442159383,2422
"81","ricepaddyhus","Karjat (Raigad)",2015,120,2400
"82","wheathusked","Osmanabad",2015,155.816993464052,2384
"83","pigeon pea tur","Kurdwadi-Modnimb",2016,44.2296866203791,2357
"84","ricepaddyhus","Akola",2016,75.3376205787781,2343
"85","split black gram","Mumbai",2016,16.1986443491493,2342
"86","pigeon pea tur","Hinganghat",2016,32.4788732394366,2306
"87","ricepaddyhus","Vasai",2015,146.484375,2286
"88","pigeon pea tur","Akola",2015,26.1904761904762,2277
"89","pigeon pea tur","Nandgaon Khandeshwar",2015,31.6920072534524,2272
"90","cotton","Kalmeshwar",2016,55.5746561886051,2263
"91","pigeon pea tur","Risod",2015,30.2622730329523,2250
"92","sorgumjawar","Kolhapur-Laxmipuri",2014,136.553846153846,2219
"93","sorgumjawar","Kolhapur-Laxmipuri",2016,123.455377574371,2205
"94","ricepaddyhus","Vasai",2014,137.5,2200
"95","pigeon pea tur","Akkolkot",2015,19.9890919007363,2199
"96","pigeon pea tur","Nandura",2015,31.3443696561761,2184
"97","sesamum","Chopda",2015,41.511961722488,2169
"98","pigeon pea tur","Sangali",2016,34.6153846153846,2166
